UR_id,dataset,split,n_sources,theta,method,sources_explored,shipping_time_total,shipping_rows_total,local_time_total,method_time_total,rows_final,coverage_final,penalty_final,runtime_total
20,MATHE,random_10,10,0.7,method1_full_scan,10,0.05623729198850924,20255,21.479059252007573,21.535296543996083,10,0.9166666666666666,0.5650793650793651,21.558967113494873
20,MATHE,random_10,10,0.7,method1_full_scan_stats,1,0.0066910829991684295,2026,0.4232602499978384,0.42995133299700683,10,0.9166666666666666,0.4888888888888889,0.44542884826660156
20,MATHE,random_10,10,0.8,method1_full_scan,10,0.05463921000045957,20255,21.321747122019588,21.376386332020047,10,0.9166666666666666,0.5650793650793651,21.388575077056885
20,MATHE,random_10,10,0.8,method1_full_scan_stats,1,0.0048318330009351484,2026,0.4116922079992946,0.41652404100022977,10,0.9166666666666666,0.4888888888888889,0.43300509452819824
20,MATHE,random_10,10,0.9,method1_full_scan,10,0.052601459981815424,20255,20.966384542014566,21.01898600199638,10,0.9166666666666666,0.5650793650793651,21.029173851013184
20,MATHE,random_10,10,0.9,method1_full_scan_stats,1,0.0046287500008475035,2026,0.41264558399416273,0.41727433399501024,10,0.9166666666666666,0.4888888888888889,0.4326610565185547
20,MATHE,random_100,100,0.7,method1_full_scan,100,0.24692628900083946,20255,21.823080959038634,22.070007248039474,10,0.9166666666666666,0.5650793650793651,22.127236127853394
20,MATHE,random_100,100,0.7,method1_full_scan_stats,1,0.003066749995923601,203,0.02727408400096465,0.03034083399688825,10,0.9166666666666666,0.5333333333333333,0.10089802742004395
20,MATHE,random_100,100,0.8,method1_full_scan,100,0.26246200195600977,20255,21.57473524795205,21.83719724990806,10,0.9166666666666666,0.5650793650793651,21.876560926437378
20,MATHE,random_100,100,0.8,method1_full_scan_stats,1,0.002364500003750436,203,0.026801959000295028,0.029166459004045464,10,0.9166666666666666,0.5333333333333333,0.08353710174560547
20,MATHE,random_100,100,0.9,method1_full_scan,100,0.25086533399735345,20255,21.516600292969088,21.76746562696644,10,0.9166666666666666,0.5650793650793651,21.805299043655396
20,MATHE,random_100,100,0.9,method1_full_scan_stats,1,0.0026020410005003214,203,0.026900666998699307,0.02950270799919963,10,0.9166666666666666,0.5333333333333333,0.09940195083618164
20,MATHE,random_20,20,0.7,method1_full_scan,20,0.07446308300859528,20255,21.228804293001303,21.3032673760099,10,0.9166666666666666,0.5650793650793651,21.32155179977417
20,MATHE,random_20,20,0.7,method1_full_scan_stats,1,0.0034765000018524006,1013,0.16415295899787452,0.16762945899972692,10,0.9166666666666666,0.5650793650793651,0.18563413619995117
20,MATHE,random_20,20,0.8,method1_full_scan,20,0.06468516500171972,20255,21.365631374996156,21.430316539997875,10,0.9166666666666666,0.5650793650793651,21.44387698173523
20,MATHE,random_20,20,0.8,method1_full_scan_stats,1,0.003624124998168554,1013,0.16439779099891894,0.1680219159970875,10,0.9166666666666666,0.5650793650793651,0.18500900268554688
20,MATHE,random_20,20,0.9,method1_full_scan,20,0.06472183098230744,20255,21.43210233200807,21.49682416299038,10,0.9166666666666666,0.5650793650793651,21.509817838668823
20,MATHE,random_20,20,0.9,method1_full_scan_stats,1,0.003559250006219372,1013,0.16430133300309535,0.16786058300931472,10,0.9166666666666666,0.5650793650793651,0.1851179599761963
20,MATHE,random_5,5,0.7,method1_full_scan,5,0.037490084003366064,20255,21.238735832987004,21.27622591699037,10,0.9166666666666666,0.5650793650793651,21.286706924438477
20,MATHE,random_5,5,0.7,method1_full_scan_stats,1,0.006150416993477847,4051,1.2167937909980537,1.2229442079915316,10,0.9166666666666666,0.5650793650793651,1.2330470085144043
20,MATHE,random_5,5,0.8,method1_full_scan,5,0.03130004100239603,20255,21.965912001003744,21.99721204200614,10,0.9166666666666666,0.5650793650793651,22.006658792495728
20,MATHE,random_5,5,0.8,method1_full_scan_stats,1,0.008734874994843267,4051,1.3006512079955428,1.309386082990386,10,0.9166666666666666,0.5650793650793651,1.3210418224334717
20,MATHE,random_5,5,0.9,method1_full_scan,5,0.036028875001647975,20255,22.387936082988745,22.423964957990393,10,0.9166666666666666,0.5650793650793651,22.432708263397217
20,MATHE,random_5,5,0.9,method1_full_scan_stats,1,0.005738209001719952,4051,1.2107455829973333,1.2164837919990532,10,0.9166666666666666,0.5650793650793651,1.2262039184570312
20,MATHE,skewed_10,10,0.7,method1_full_scan,10,0.04866395999852102,20254,22.82277779300057,22.87144175299909,10,0.9166666666666666,0.5333333333333333,22.884895086288452
20,MATHE,skewed_10,10,0.7,method1_full_scan_stats,1,0.007406458003970329,4726,1.532551958996919,1.5399584170008893,10,0.9166666666666666,0.4888888888888889,1.5544700622558594
20,MATHE,skewed_10,10,0.8,method1_full_scan,10,0.04719108400604455,20254,21.83258929200383,21.879780376009876,10,0.9166666666666666,0.5333333333333333,21.889535903930664
20,MATHE,skewed_10,10,0.8,method1_full_scan_stats,1,0.008052208002482075,4726,1.5727040830024634,1.5807562910049455,10,0.9166666666666666,0.4888888888888889,1.595324993133545
20,MATHE,skewed_10,10,0.9,method1_full_scan,10,0.05214145800709957,20254,22.461890999002208,22.514032457009307,10,0.9166666666666666,0.5333333333333333,22.524091005325317
20,MATHE,skewed_10,10,0.9,method1_full_scan_stats,1,0.00751854100235505,4726,1.5434982090009726,1.5510167500033276,10,0.9166666666666666,0.4888888888888889,1.5656299591064453
20,MATHE,skewed_100,100,0.7,method1_full_scan,100,0.26195745305449236,20180,22.087759620008,22.349717073062493,10,0.9166666666666666,0.5333333333333333,22.411501169204712
